,yelpid,name,lat,lng,distance miles,distance meters,price rating,price value,review count,review rating,type,sub type,address1,city,state,zip,reviewid,compound,positive,negative,neutral,review text,timestamp,reviewer name,reviewer id
119,UiFrBo6P7ZNtQiccUMsFRQ,Med Ed Cafe,33.6420777588606,-117.851237057957,0.54,869,$,1,3,4.5,Cafes,n/a,836 Health Sciences Rd,Irvine,CA,92697,LxhPATYXszW3DgHvU8k2uw,0.4588,0.097,0.0,0.903,"This is a cute little cafe tucked on the side of one of the Medical Education buildings (hence the name ""Med Ed Cafe"". From the closest parking lot - it is...",2017-04-27 09:38:34,Dean W.,y7XUw7wEHApwcF7zEKRZ2w
120,UiFrBo6P7ZNtQiccUMsFRQ,Med Ed Cafe,33.6420777588606,-117.851237057957,0.54,869,$,1,3,4.5,Cafes,n/a,836 Health Sciences Rd,Irvine,CA,92697,ds_7cTl7cLzCuHC5-qZbSQ,0.5719,0.129,0.0,0.871,"This little cafe is located at the school of medicine in front of the Medical Education Building. Perfect for students, staff, and physicians in the area...",2015-11-05 08:21:26,Julian T.,nPGkPnzMXOLV3k26XLDGZQ
121,UiFrBo6P7ZNtQiccUMsFRQ,Med Ed Cafe,33.6420777588606,-117.851237057957,0.54,869,$,1,3,4.5,Cafes,n/a,836 Health Sciences Rd,Irvine,CA,92697,M3GYMKn3BrvCjEgcEDCtYw,0.0,0.0,0.0,1.0,This place opened in Winter of 2010. It's tucked away inside the school of medicine. Look on the map for the Medical Education Building. It's a gorgeous...,2011-01-11 21:25:54,Tiffany H.,GmQR50bIII7gDNRYEgfXfA
122,2klb5ttoSEb2wNDT92dx9g,Specialty's Café & Bakery,33.6468788,-117.8546541,0.74,1192,$,1,120,4.0,Bakeries,Cafes,100 Innovation Dr,Irvine,CA,92617,yoDLIXMOjtYTFLnusuvYFQ,0.4754,0.11,0.0,0.89,Really popular place for lunch because it is probably the only restaurant in the entire UCI Research Business Park. It gets really packed during the lunch...,2018-07-19 09:46:26,Chelsey M.,7iqqcn_hZJ-P3-SbDTS5rQ
123,2klb5ttoSEb2wNDT92dx9g,Specialty's Café & Bakery,33.6468788,-117.8546541,0.74,1192,$,1,120,4.0,Bakeries,Cafes,100 Innovation Dr,Irvine,CA,92617,nLYpy3nm0KctBUBHSFLtWw,0.9184,0.385,0.079,0.536,"Chicken Coconut Curry soup is one of the best I've ever had! Nice atmosphere, great food, and the baked goods are delicious. Never disappointed for lunch....",2018-05-06 09:00:04,Alexandra H.,zJ-sxjls70iRIVFFUrILAw
124,2klb5ttoSEb2wNDT92dx9g,Specialty's Café & Bakery,33.6468788,-117.8546541,0.74,1192,$,1,120,4.0,Bakeries,Cafes,100 Innovation Dr,Irvine,CA,92617,l8zksIPAZRSuj2FYD2GsTg,0.6486,0.164,0.0,0.836,I like coming here for the outside seating and corn hole. It's a nice place to eat lunch with my family if/when they visit on a work day. I've only ever had...,2018-06-11 19:39:09,AM F.,oIcXJtwPJj6cVbSWmvoq1w
125,hiczRBTNxzPitF1Hzn1-mQ,Panda Express,33.6491988085241,-117.842563390732,0.61,980,$,1,39,2.5,Fast Food,Chinese,A232 Student Ctr,Irvine,CA,92697,aWVr6TDv1UmY4Zu-y3kxLQ,0.7178,0.272,0.0,0.728,"As a Chinese student, I wouldn't say that panda Express is good Chinese food.But the orange chicken is really nice.",2018-08-09 15:26:59,ShiY G.,o3OPTyt03QXN3gSFZcPHBQ
126,hiczRBTNxzPitF1Hzn1-mQ,Panda Express,33.6491988085241,-117.842563390732,0.61,980,$,1,39,2.5,Fast Food,Chinese,A232 Student Ctr,Irvine,CA,92697,vcZH_-P3OMZb9oOjxQ0K8w,-0.1645,0.079,0.099,0.822,The taste and look is just like any other Panda Express. It is inside of a college off court so don't expect anything super aesthetic here. I've notice that...,2017-10-07 16:10:10,Timothy K.,r8c7vE1_e7Kw02BVzPV4PQ
127,hiczRBTNxzPitF1Hzn1-mQ,Panda Express,33.6491988085241,-117.842563390732,0.61,980,$,1,39,2.5,Fast Food,Chinese,A232 Student Ctr,Irvine,CA,92697,OwowIk-9Xg3G70mHorwGMA,-0.5372,0.099,0.208,0.693,"So gross. I mean, if you're stuck on campus or don't want to leave campus and are craving Chinese food - try to convince yourself to eat something else....",2017-01-18 18:49:41,Dean W.,y7XUw7wEHApwcF7zEKRZ2w
128,PZ5DdMliakXdyMHbo17SVg,Bene's Pizza & Pasta,33.6487611798883,-117.842048406601,0.59,942,$,1,23,3.5,Italian,n/a,University Of California Irvine,Irvine,CA,92604,93QrrlgdC3My78PN7MpThw,0.4019,0.097,0.0,0.903,I never really went here until my senior year. I wish I discovered it sooner. I always go here for the salads. You build your own salad. You can choose...,2014-07-12 00:16:16,Michelle T.,d0AMOvtguHv1nYxb9mYf5A
129,PZ5DdMliakXdyMHbo17SVg,Bene's Pizza & Pasta,33.6487611798883,-117.842048406601,0.59,942,$,1,23,3.5,Italian,n/a,University Of California Irvine,Irvine,CA,92604,8YZ1KF4VR8ADAL7VLhVBOg,0.4118,0.125,0.04,0.835,"The pizza here is actually pretty good - I guess if you go at the right time. It can be hit or miss, but usually I stick to the pasta. Pasta station wasn't...",2015-10-25 17:44:46,Dean W.,y7XUw7wEHApwcF7zEKRZ2w
130,PZ5DdMliakXdyMHbo17SVg,Bene's Pizza & Pasta,33.6487611798883,-117.842048406601,0.59,942,$,1,23,3.5,Italian,n/a,University Of California Irvine,Irvine,CA,92604,j8QOEuEzwhn9Ph9-WkNHSg,-0.5267,0.0,0.155,0.845,"The pasta was underwhelming... paid $10 for a small portion of pasta, the chicken had no flavor, the pasta had no flavor; over all it was just...",2017-06-01 16:58:09,Sarah C.,xxxFRlzKcIAYIqXmMc_cjQ
131,cJ3Ql5pI7cqRkKFHUggVOw,Pippin Commons,33.64476848477,-117.836899908994,0.52,833,$,1,46,3.0,Cafeteria,n/a,100 E Peltason Dr,Irvine,CA,92612,fy42yIJAICxBdvz9ECvxhw,0.9241,0.394,0.0,0.606,"This restaurant is great!! As a UCI student I Love it
U know what , it is very cheap and tasty!! 
It is good try it!!",2018-09-16 15:36:26,Steven Z.,X0v09eEzHOt3KTthRyMtbg
132,cJ3Ql5pI7cqRkKFHUggVOw,Pippin Commons,33.64476848477,-117.836899908994,0.52,833,$,1,46,3.0,Cafeteria,n/a,100 E Peltason Dr,Irvine,CA,92612,fJNz2aB_BJUf1FUypAZ6uQ,0.5423,0.246,0.145,0.609,"Pippin Common is terrible. The good reviews are from a long forgotten era of when the Anteatery didn't exist. All the good, interesting foods are now served...",2018-05-17 10:43:35,Andrew A.,FAJs9iYzh60dPZoJ6dnG2Q
133,cJ3Ql5pI7cqRkKFHUggVOw,Pippin Commons,33.64476848477,-117.836899908994,0.52,833,$,1,46,3.0,Cafeteria,n/a,100 E Peltason Dr,Irvine,CA,92612,IMF2czMGmURbSWabQquNGw,-0.3412,0.0,0.082,0.918,Only come here if you absolutely have to. The food selection isn't good and they just serve the same food with minor adjustments to the presentation to make...,2018-09-17 01:06:26,Alex K.,FcZFrb0Z1JF6yfjkKB8SDA
134,CbuSnXTGkNvjvF0bD__pBA,Subway,33.645939,-117.844418,0.38,605,$,1,31,3.5,Sandwiches,Fast Food,BC's Cavern Food Ct,Irvine,CA,92697,cPr-br9q9GDFjR5SzBJeLw,0.2732,0.075,0.0,0.925,"For a Subway that closes at 8pm on the weekdays, it's surprising that they start cleanup so early. It was a little after 530pm on a Monday that I went here...",2017-02-07 10:50:05,Dean W.,y7XUw7wEHApwcF7zEKRZ2w
135,CbuSnXTGkNvjvF0bD__pBA,Subway,33.645939,-117.844418,0.38,605,$,1,31,3.5,Sandwiches,Fast Food,BC's Cavern Food Ct,Irvine,CA,92697,D8v_UkKiGdpbvHXWU9HL3A,0.5411,0.123,0.0,0.877,"Look, if you have been to a Subway before you can pretty much know what to expect here, with one major difference--student workers! The staff here rotates...",2017-10-05 08:46:38,T E.,hkws81Q9QtneRTpV5Y-K1Q
136,CbuSnXTGkNvjvF0bD__pBA,Subway,33.645939,-117.844418,0.38,605,$,1,31,3.5,Sandwiches,Fast Food,BC's Cavern Food Ct,Irvine,CA,92697,EC6bI27_ho0KhhQX5TSFIQ,-0.2462,0.043,0.103,0.854,"They dropped my sandwich, and they picked it back up, rolled it up in the paper, and made me eat it! I still had to pay for it!

Nah, just kidding. They...",2015-10-21 14:24:05,William T.,-aTIvU50_rFstddZT07yvA
137,UmF_y5uzuO0e9r080kRNvQ,Café Espresso,33.6438578008159,-117.843491435051,0.24,381,$,1,35,3.0,Coffee & Tea,Sandwiches,University Of California Irvine,Irvine,CA,92697,GZFanH7l2D-9KsOAJ7kwcg,0.0,0.0,0.0,1.0,"This is the most convenient option for lunch if you're at Donald Bren, Rowland, or Croul Hall. Lines can get kinda long around lunch time and it takes a...",2018-07-15 13:34:29,Gracie W.,HrsOUf77EUu3aydEo_OVmw
138,UmF_y5uzuO0e9r080kRNvQ,Café Espresso,33.6438578008159,-117.843491435051,0.24,381,$,1,35,3.0,Coffee & Tea,Sandwiches,University Of California Irvine,Irvine,CA,92697,ce4g9XnQS39G5ti7LrQWxA,0.0772,0.048,0.0,0.952,"Relatively decent coffee stand if you want to take a break from any of the four Starbucks locations on the UC Irvine campus. 

Cost of brewed coffee nets...",2017-10-05 09:50:59,Dean W.,y7XUw7wEHApwcF7zEKRZ2w
139,UmF_y5uzuO0e9r080kRNvQ,Café Espresso,33.6438578008159,-117.843491435051,0.24,381,$,1,35,3.0,Coffee & Tea,Sandwiches,University Of California Irvine,Irvine,CA,92697,-Ctuj24vOtP9myC8UyzSTA,0.7506,0.204,0.0,0.796,I had a strawberry fields smoothie. It was very tasty. The service was excellent. This will definitely be one of my go to breakfast spots when I'm at UCI.,2017-06-07 08:50:44,Teddy S.,Q11hAQDs2mLEkaAq240P0A
